Alumno	Q1 - ¿Cual de las siguientes afirmaciones es correcta? (1 pts)	Q2 - Según la Ley 2/1964, ¿cuál de las siguientes es una atribución profesional de los Ingenieros de Telecomunicación? (1 pts)	Q3 - ¿Cuál es la función principal del Jefe del Proyecto según las partes que intervienen en un proyecto? (1 pts)	Q4 - En relación a las fases de un proyecto, ¿cual de las siguientes puede estar contemplada tanto en el anteproyecto como en la propia ejecución del proyecto? (1 pts)	Q5 - En el contexto de la caracterización de proyectos externos y oportunidades de negocio, ¿qué significan las siglas RFP? (1 pts)	Q6 - De acuerdo con el Manual de Frascati, ¿cómo se define la 'Investigación aplicada'? (1 pts)	Q7 - ¿Qué actividades principales comprende la fase de 'Anteproyecto' dentro del ciclo de vida de un proyecto industrial? (1 pts)	Q8 - ¿Cuál es la diferencia fundamental entre las actividades de 'Producción' y las de 'Proyectos' en el ámbito industrial? (1 pts)	Q9 - ¿Cuáles son las tres fases principales descritas para 'La oferta' en un proyecto externo? (1 pts)	Q10 - ¿Cómo define el Project Management Institute (PMI) el concepto de proyecto? (1 pts)	Total
1	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	X - Resources For Projects	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
2	/	/	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	X - Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Estudio previo de mercado, Diseño técnico del producto y Proceso de fabricación	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	4 / 10
3	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	X - Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	8 / 10
4	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	X - Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	7 / 10
5	X - Los trabajos de consultoria son una parte intrínseca de los proyectos internos de oficina técnica	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Identificación de riesgos del proyecto, Ejecución de actividades y Cierre administrativo	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	7 / 10
6	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	X - La inspección técnica de las instalaciones eléctricas de alta tensión en el sector de la gran industria metalúrgica	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	X - Resources For Projects	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	X - Es un conjunto coordinado de tareas permanentes diseñadas para mejorar la eficiencia de la producción	7 / 10
7	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	X - Ready For Production	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	8 / 10
8	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
9	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	/	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
10	/	/	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	X - Request For Planning	/	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	5 / 10
11	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	8 / 10
12	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	X - Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Identificación de riesgos del proyecto, Ejecución de actividades y Cierre administrativo	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	6 / 10
13	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
14	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
15	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Cierre	X - Resources For Projects	X - Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Estudio previo de mercado, Diseño técnico del producto y Proceso de fabricación	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	5 / 10
16	/	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	X - Request For Planning	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	6 / 10
17	X - Los trabajos de consultoria son una parte intrínseca de los proyectos internos de oficina técnica	X - La gestión administrativa de los expedientes de contratación pública para la adquisición de equipos médicos especializados	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	X - Actividad creativa y sistemática para incrementar el volumen de conocimientos y el uso de estos para nuevas aplicaciones	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	X - La producción se organiza mediante estructuras temporales, mientras que el proyecto depende de áreas funcionales fijas	X - Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación	X - Es una serie de actividades recurrentes con una duración indefinida que optimizan procesos operativos	3 / 10
18	/	/	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	X - Request For Planning	X - Actividad creativa y sistemática para incrementar el volumen de conocimientos y el uso de estos para nuevas aplicaciones	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	X - La producción es una actividad discontinua y única, mientras que el proyecto es repetitivo y se mantiene indefinidamente	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	X - Es un trabajo continuo y repetitivo que realiza un área funcional para mantener la operación del negocio	4 / 10
19	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	X - Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	7 / 10
20	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	X - La inspección técnica de las instalaciones eléctricas de alta tensión en el sector de la gran industria metalúrgica	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	X - Es una serie de actividades recurrentes con una duración indefinida que optimizan procesos operativos	8 / 10
21	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
22	/	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	8 / 10
23	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	X - Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	7 / 10
24	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
25	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	X - Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
26	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
27	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
28	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
29	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	V - Planificación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	10 / 10
30	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	V - La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero	V - Es el responsable de asegurar que se cumplan los objetivos establecidos	X - Validación	V - Request For Proposals	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	V - Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	V - Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	9 / 10
31	V - Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito	X - La redacción de proyectos integrales de edificación urbana destinados al uso principal de viviendas residenciales	X - Es el individuo que solicita formalmente la ejecución del proyecto	X - Cierre	X - Request For Planning	V - Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico	X - Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar	V - La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos	X - Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación	V - Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único	4 / 10
	76.67%	76.67%	100%	66.67%	76.67%	63.33%	53.33%	93.33%	76.67%	86.67%	77%
